kode,nama,url
66,"Aktivitas Penunjang Jasa Keuangan, Asuransi, Penjaminan dan Dana Pensiun",https://klasifikasi.web.bps.go.id/app/view/kbli2020/66
68,Real Estat,https://klasifikasi.web.bps.go.id/app/view/kbli2020/68
69,Aktivitas Hukum Dan Akuntansi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/69
70,Aktivitas Kantor Pusat dan Konsultasi Manajemen,https://klasifikasi.web.bps.go.id/app/view/kbli2020/70
71,Aktivitas Arsitektur Dan Keinsinyuran; Analisis Dan Uji Teknis,https://klasifikasi.web.bps.go.id/app/view/kbli2020/71
72,Penelitian Dan Pengembangan Ilmu Pengetahuan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/72
73,Periklanan Dan Penelitian Pasar,https://klasifikasi.web.bps.go.id/app/view/kbli2020/73
74,"Aktivitas profesional, ilmiah dan teknis lainnya",https://klasifikasi.web.bps.go.id/app/view/kbli2020/74
75,Aktivitas Kesehatan Hewan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/75
77,Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/77
78,Aktivitas Ketenagakerjaan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/78
79,"Aktivitas Agen Perjalanan, Penyelenggara Tur Dan Jasa Reservasi Lainnya",https://klasifikasi.web.bps.go.id/app/view/kbli2020/79
80,Aktivitas Keamanan dan Penyelidikan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/80
81,Aktivitas Penyedia Jasa Untuk Gedung Dan Pertamanan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/81
82,"Aktivitas Administrasi Kantor, Aktivitas Penunjang Kantor Dan Aktivitas Penunjang Usaha Lainnya",https://klasifikasi.web.bps.go.id/app/view/kbli2020/82
84,"Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",https://klasifikasi.web.bps.go.id/app/view/kbli2020/84
85,Pendidikan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/85
86,Aktivitas Kesehatan Manusia,https://klasifikasi.web.bps.go.id/app/view/kbli2020/86
87,Aktivitas Sosial Di Dalam Panti,https://klasifikasi.web.bps.go.id/app/view/kbli2020/87
88,Aktivitas Sosial Tanpa Akomodasi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/88
90,"Aktivitas Hiburan, Kesenian Dan Kreativitas",https://klasifikasi.web.bps.go.id/app/view/kbli2020/90
91,"Perpustakaan, Arsip, Museum Dan Kegiatan Kebudayaan Lainnya",https://klasifikasi.web.bps.go.id/app/view/kbli2020/91
92,Aktivitas Perjudian Dan Pertaruhan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/92
93,Aktivitas Olahraga Dan Rekreasi Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/93
94,Aktivitas Keanggotaan Organisasi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/94
95,Reparasi Komputer Dan Barang Keperluan Pribadi Dan Perlengkapan Rumah Tangga,https://klasifikasi.web.bps.go.id/app/view/kbli2020/95
96,Aktivitas Jasa perorangan lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/96
97,Aktivitas Rumah Tangga Sebagai Pemberi Kerja Dari Personil Domestik,https://klasifikasi.web.bps.go.id/app/view/kbli2020/97
98,Aktivitas Yang Menghasilkan Barang Dan Jasa Oleh Rumah Tangga Yang digunakan untuk Memenuhi Kebutuhan Sendiri,https://klasifikasi.web.bps.go.id/app/view/kbli2020/98
99,Aktivitas Badan Internasional Dan Badan Ekstra Internasional Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/99
