kode,nama,url
893,Ekstraksi garam,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0893
899,Pertambangan dan penggalian lainnya ytdl,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0899
910,Aktivitas Penunjang pertambangan minyak bumi dan gas alam,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0910
990,Aktivitas Penunjang pertambangan dan penggalian lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0990
1011,Kegiatan Rumah Potong dan Pengepakan Daging Bukan Unggas,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1011
1012,Kegiatan Rumah Potong dan Pengepakan Daging Unggas,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1012
1013,Industri Pengolahan dan Pengawetan Produk Daging dan Daging Unggas,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1013
1021,Industri Pengolahan dan Pengawetan Ikan dan Produk Ikan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1021
1022,Industri Pengolahan dan Pengawetan Ikan dan biota air Dalam Kaleng,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1022
1029,Industri Pengolahan dan Pengawetan Biota Air Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1029
1031,"Industri Pengolahan dan Pengawetan Buah-buahan dan Sayuran dengan cara diasinkan, dilumatkan, dikeringkan dan dibekukan",https://klasifikasi.web.bps.go.id/app/view/kbli2020/1031
1032,Industri Pengolahan dan Pengawetan Buah-buahan dan Sayuran Dalam Kaleng,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1032
1033,Industri Pengolahan Sari Buah dan Sayuran,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1033
1039,Industri Pengolahan dan Pengawetan Lainnya Buah-buahan dan Sayuran,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1039
1041,Industri Minyak dan Lemak Nabati dan Hewani (Bukan Kelapa dan Kelapa Sawit),https://klasifikasi.web.bps.go.id/app/view/kbli2020/1041
1042,"Industri Kopra, Minyak Mentah dan Minyak Goreng Kelapa, dan Pelet Kelapa",https://klasifikasi.web.bps.go.id/app/view/kbli2020/1042
1043,Industri Minyak Mentah/Murni Kelapa Sawit (Crude Palm Oil) Dan Minyak Goreng Kelapa Sawit,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1043
1049,Industri Minyak Mentah dan Lemak Nabati dan Hewani Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1049
1051,Industri Pengolahan Susu Segar dan Krim,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1051
1052,Industri Pengolahan Susu Bubuk dan Susu Kental,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1052
1053,Industri Pengolahan Es Krim dan Sejenisnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1053
1059,Industri Pengolahan Produk dari Susu Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1059
1061,Industri Penggilingan Serelia dan Biji-bijian Lainnya (Bukan Beras dan Jagung),https://klasifikasi.web.bps.go.id/app/view/kbli2020/1061
1062,Industri Pati dan Produk Pati (Bukan Beras dan Jagung),https://klasifikasi.web.bps.go.id/app/view/kbli2020/1062
1063,Industri Penggilingan Beras dan Jagung dan Industri Tepung Beras dan Jagung,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1063
1071,Industri Produk Roti dan Kue,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1071
1072,Industri Gula,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1072
1073,"Industri Kakao, Cokelat dan Kembang gula",https://klasifikasi.web.bps.go.id/app/view/kbli2020/1073
1074,"Industri Makaroni, Mie dan Produk Sejenisnya",https://klasifikasi.web.bps.go.id/app/view/kbli2020/1074
1075,Industri Makanan dan Masakan Olahan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1075
1076,"Industri Pengolahan Kopi, Teh dan Herbal (Herb infusion)",https://klasifikasi.web.bps.go.id/app/view/kbli2020/1076
1077,Industri Bumbu-bumbuan dan Produk Masak Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1077
1079,Industri Produk Makanan Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1079
1080,Industri Makanan Hewan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1080
1101,Industri Minuman Beralkohol Hasil Destilasi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1101
1102,"Industri Minuman Beralkohol Hasil Fermentasi Anggur dan Hasil Pertanian Lainnya
",https://klasifikasi.web.bps.go.id/app/view/kbli2020/1102
1103,"Industri Minuman Beralkohol Hasil Fermentasi Malt dan Industri Malt
",https://klasifikasi.web.bps.go.id/app/view/kbli2020/1103
1104,Industri Minuman Ringan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1104
1105,Industri Air Kemasan dan Air Minum Isi Ulang,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1105
1109,Industri Minuman Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1109
1201,Industri Rokok dan Produk Tembakau Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1201
1209,Industri Pengolahan Tembakau Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1209
1311,Industri Persiapan dan Pemintalan Serat Tekstil,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1311
1312,Industri Pertenunan Tekstil,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1312
1313,Industri Penyempurnaan Tekstil,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1313
1391,Industri Kain Rajutan dan Sulaman,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1391
1392,"Industri Pembuatan Barang Tekstil, Bukan Pakaian Jadi",https://klasifikasi.web.bps.go.id/app/view/kbli2020/1392
1393,Industri Karpet dan Permadani,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1393
1394,Industri Tali Dan Barang Dari Tali,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1394
1399,Industri Tekstil Lainnya Ytdl,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1399
1411,Industri Pakaian Jadi (Bukan Penjahitan dan Pembuatan Pakaian),https://klasifikasi.web.bps.go.id/app/view/kbli2020/1411
1412,Penjahitan dan Pembuatan Pakaian Sesuai Pesanan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1412
1413,Industri Perlengkapan Pakaian yang Utamanya Terbuat dari Tekstil,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1413
1420,Industri pakaian jadi dan barang dari kulit berbulu,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1420
1430,Industri pakaian jadi rajutan dan sulaman/bordir,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1430
1511,"Industri Kulit dan Kulit Komposisi, Termasuk Pencelupan Kulit Berbulu",https://klasifikasi.web.bps.go.id/app/view/kbli2020/1511
1512,"Industri Barang dari Kulit dan Kulit Komposisi, Koper, Tas Tangan dan Sejenisnya, Pelana dan Alat Pengekang (Harness)",https://klasifikasi.web.bps.go.id/app/view/kbli2020/1512
1520,Industri Alas Kaki,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1520
1610,"Industri Penggergajian dan Pengawetan Kayu, Rotan, Bambu dan Sejenisnya",https://klasifikasi.web.bps.go.id/app/view/kbli2020/1610
1621,"Industri Veneer, Kayu Lapis, Kayu Laminasi dan sejenisnya",https://klasifikasi.web.bps.go.id/app/view/kbli2020/1621
1622,Industri Barang Bangunan Dari Kayu,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1622
1623,Industri Wadah dari Kayu,https://klasifikasi.web.bps.go.id/app/view/kbli2020/1623
1629,"Industri Barang Lainnya dari Kayu; Industri Barang dari Gabus dan Barang Anyaman dari Jerami, Rotan, Bambu dan Sejenisnya",https://klasifikasi.web.bps.go.id/app/view/kbli2020/1629
